"","census_geoid_start","year","month","census_geoid_end","trips","daily"
"293","48453000101","2019","5","48453000205",2,0.0645161290322581
"294","48453000101","2019","5","48453000206",2,0.0645161290322581
"295","48453000101","2019","5","48453000302",2,0.0645161290322581
"296","48453000101","2019","5","48453000500",1,0.032258064516129
"297","48453000101","2019","5","48453000601",1,0.032258064516129
"298","48453000101","2019","5","48453000603",4,0.129032258064516
"299","48453000101","2019","5","48453000604",1,0.032258064516129
"300","48453000101","2019","5","48453001100",7,0.225806451612903
"301","48453000101","2019","5","48453001200",2,0.0645161290322581
"302","48453000101","2019","5","48453001503",1,0.032258064516129
"303","48453000101","2019","5","48453001505",1,0.032258064516129
"304","48453000101","2019","5","48453001603",10,0.32258064516129
"305","48453000101","2019","5","48453001604",1,0.032258064516129
"306","48453000101","2019","6","48453000101",30,0.967741935483871
"307","48453000101","2019","6","48453000203",4,0.129032258064516
"308","48453000101","2019","6","48453000204",15,0.483870967741935
"309","48453000101","2019","6","48453000205",3,0.0967741935483871
"310","48453000101","2019","6","48453000206",6,0.193548387096774
"311","48453000101","2019","6","48453000304",1,0.032258064516129
"312","48453000101","2019","6","48453000500",1,0.032258064516129
"313","48453000101","2019","6","48453000603",3,0.0967741935483871
"314","48453000101","2019","6","48453000604",3,0.0967741935483871
"315","48453000101","2019","6","48453000700",1,0.032258064516129
"316","48453000101","2019","6","48453001100",4,0.129032258064516
"317","48453000101","2019","6","48453001200",2,0.0645161290322581
"318","48453000101","2019","6","48453001501",1,0.032258064516129
"319","48453000101","2019","6","48453001603",4,0.129032258064516
"320","48453000101","2019","6","48453001604",1,0.032258064516129
"321","48453000101","2019","6","48453001606",1,0.032258064516129
"322","48453000101","2019","6","48453001817",3,0.0967741935483871
"323","48453000101","2019","7","48453000101",28,0.903225806451613
"324","48453000101","2019","7","48453000203",2,0.0645161290322581
"325","48453000101","2019","7","48453000204",19,0.612903225806452
"326","48453000101","2019","7","48453000205",6,0.193548387096774
"327","48453000101","2019","7","48453000206",10,0.32258064516129
"328","48453000101","2019","7","48453000302",4,0.129032258064516
"329","48453000101","2019","7","48453000305",2,0.0645161290322581
"330","48453000101","2019","7","48453000500",3,0.0967741935483871
"331","48453000101","2019","7","48453000604",3,0.0967741935483871
"332","48453000101","2019","7","48453000700",2,0.0645161290322581
"333","48453000101","2019","7","48453000803",1,0.032258064516129
